生まれ年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,閏年(0 or 1)
2017年,117,148,176,207,237,8,38,69,100,130,161,191,0
2018年,222,253,21,52,82,113,143,174,205,235,6,36,0
2019年,67,98,126,157,187,218,248,19,50,80,111,141,0
2020年,172,203,231,2,32,63,93,124,155,185,216,246,1
2021年,17,48,76,107,137,168,198,229,0,30,61,91,0
2022年,122,153,181,212,242,13,43,74,105,135,166,196,0
2023年,227,258,26,57,87,118,148,179,210,240,11,41,0
2024年,72,103,131,162,192,223,253,24,55,85,116,146,1
2025年,177,208,236,7,37,68,98,129,160,190,221,251,0
2026年,22,53,81,112,142,173,203,234,5,35,66,96,0
2027年,127,158,186,217,247,18,48,79,110,140,171,201,0
2028年,232,3,31,62,92,123,153,184,215,245,16,46,1
2029年,77,108,136,167,197,228,258,29,60,90,121,151,0
2030年,182,213,241,12,42,73,103,134,165,195,226,256,0
2031年,27,58,86,117,147,174,208,239,10,40,71,101,0
2032年,132,163,191,222,252,23,53,84,115,145,176,206,1
2033年,237,8,36,67,97,128,158,189,220,250,21,51,0
2034年,82,113,141,172,202,233,3,34,65,95,126,156,0
2035年,187,218,246,17,47,78,108,139,170,200,231,1,0
2036年,32,63,91,122,152,183,213,244,15,45,76,106,1
2037年,137,168,196,227,257,28,58,89,120,150,181,211,0
2038年,242,13,41,72,102,133,163,194,225,255,26,56,0
2039年,87,118,146,177,207,238,8,39,70,100,131,161,0
2040年,192,223,251,22,52,83,113,144,175,205,236,6,1
2041年,37,68,96,127,157,188,218,249,20,50,81,111,0
2042年,142,173,201,232,2,33,63,94,125,155,186,216,0
2043年,247,18,46,77,107,138,168,199,230,0,31,61,0
2044年,92,123,151,182,212,243,13,44,75,105,136,166,1
2045年,197,228,256,27,57,88,118,149,180,210,241,11,0
2046年,42,73,101,132,162,193,223,254,25,55,86,116,0
2047年,147,178,206,237,7,38,68,99,130,160,191,221,0
2048年,252,23,51,82,112,143,173,204,235,5,36,66,1
2049年,97,128,156,187,217,248,18,49,80,110,141,171,0
2050年,202,233,1,32,62,93,123,154,185,215,246,16,0
2051年,47,78,106,137,167,198,228,259,30,60,91,121,0
2052年,152,183,211,242,12,43,73,104,135,165,196,226,1
2053年,257,28,56,87,117,148,178,209,240,10,41,71,0
2054年,102,133,161,192,222,253,23,54,85,115,146,176,0
2055年,207,238,6,37,67,98,128,159,190,220,251,21,0
2056年,52,83,111,142,172,203,233,4,35,65,96,126,1
2057年,157,188,216,247,17,48,78,109,140,170,201,231,0
2058年,2,33,61,92,122,153,183,214,245,15,46,76,0
2059年,107,138,166,197,227,258,28,59,90,120,151,181,0
2060年,212,243,11,42,72,103,133,164,195,225,256,26,1
2061年,57,88,116,147,177,208,238,9,40,70,101,131,0
2062年,162,193,221,252,22,53,83,114,145,175,206,236,0
2063年,7,38,66,97,127,158,188,219,250,20,51,81,0
2064年,112,143,171,202,232,3,33,64,95,125,156,186,1
2065年,217,248,16,47,77,108,138,169,200,230,1,31,0
